age,gender,frequency,narrative,cultural_belief,flagged_duplicate,llm_category,other_subtheme
20.0,Female,Frequently,"It begins in that terrifying space between sleep and waking where consciousness returns, but the body remains completely trapped. During this particular episode, the most distinct and alarming sensation was a sudden, violent physical shock. It felt as though someone or something was administering electric shocks directly to my body, sending sharp, disabling jolts through me while I lay helpless. As the episode progressed, the physical disorientation intensified. In my mind's eye, the sensation shifted into a bizarre, helpless posture: I felt as though I was physically suspended or hanging flat against a wall, completely immobilized. Panic set in immediately, and my overriding instinct was to scream, to call out for help, or to force my body to move. But no matter how hard I tried, my voice was entirely locked inside; not a single sound would pass my lips. The terror didn't end the moment I finally broke free and woke up. Even after making it out of bed and walking over to my parents for comfort, the residual shock lingered so strongly that I still couldn't speak.","In our culture, episodes like this are frequently attributed to supernatural presence or a negative force, often referred to as a saya (shadow/presence) or the influence of a jinn. Common responses include Ruqyah Shariah (Quranic recitation for protection) and Amulets/Taweez.",False,INCUBUS,
27.0,Female,Frequently,I've had this my entire life. I absolutely hate it. I fell asleep in the living room and had it again. I was making noises because I was scared and my mom saw me and woke me up. I'm asking why could my mom wake me out of it but not myself.,yes,False,OTHER,Vague/Unclear
34.0,Male,Frequently,"Valerian Root induced Sleep paralysis. I woke up with 2 different episodes after drinking sleep tea with valerian root. I was seeing psychedelic colour patterns behind my eyelids. Then a long sleep paralysis - felt pressure on my blanket like something was walking on it, heard a distorted voice of a lady, felt it start kissing me on my lips and neck. I tried to speak but was still paralysed.",yes (no detail given),False,INTRUDER_INCUBUS,
18.0,Male,Occasionally,"I keep getting sleep paralysis dreams where I wake up and cant speak or barely move. I tried opening my eyes but everytime I saw a dark figure and my eyes forced closed. I tried to stand up and go find my brother for help, saw the dark figure again, felt around the house to direct myself, managed to reach my brother's room and woke him up in the dream, then actually woke up normally. This has happened before, in the past I used to try to make my breathing sound like I need help because I couldn't move at all.",,False,INTRUDER,
21.0,Female,Frequently,Unable to move or speak. Panic and fear. Mostly saw a shadow or person standing at a distance.,No,,OTHER,
20.0,Male,Occasionally,"I closed my eyes and saw white spots forming weird shapes (hypnagogic hallucinations) and heard whispers behind me. I turned onto my back and things got worse, the room was vibrating/shaking while slowly turning red, hearing very loud noises like train horns. I could not move at all, body felt warm from fear and adrenaline. Realized it was a combination of sleep paralysis and auditory/visual hypnagogic hallucinations.","yes (no detail given, respondent notes they are religious)",,INTRUDER,Auditory/Vibrational
23.0,Male,Rarely,"Felt a heavy weight on top of me, around 1:30-2:00am. Felt someone grabbing onto my throat, thought it was my wife for a second. Tried to speak, my mind was telling me the words to say but the words were not speaking into existence.",No,,INCUBUS,
25.0,Male,Occasionally,"Was taking a nap during the day, had sleep paralysis 5-6 times in 30 minutes. First few times sensed mom at the door but she was not there when I snapped out. Later heard someone come in and lay in bed next to me, no one there. Last time saw a figure standing on the side of the bed: a light greyish skinned elderly naked woman with holes covering her body, dark inside, not wounds, various sizes, mostly on her lower body. Did not see her face.",yes (no detail given),,INTRUDER,
26.0,Male,Frequently,"Wake up in the middle of the night, look to the left side of bed where girlfriend is sleeping, see a black figure sitting upright that first looks like girlfriend then the face morphs into something unrecognizable within about 5 seconds. Call out girlfriend name, she responds, figure disappears. Happened many times, girlfriend confirms she was woken up so it was not a dream. Also has other encounters with 3D shadows that stare and print themselves onto the wall and travel like a shadow toward him.",yes (no detail given),,INTRUDER,
24.0,Male,Occasionally,"Was having a normal dream, woke in the middle of the night, pillow uncomfortably warm, went back to sleep. Slipped back into a dream in a dark outdoor place, saw bright spotlights that did not fit the scene, became semi-lucid, heard a voice say a warning using his name. Scared, opened eyes, saw overlapping black dots fading from the dream, felt a drag like fighting to stay awake, heard name repeated and distorted for the whole duration, voice sounded alien or elderly. Wiggled shoulders as before to wake from previous auditory sleep paralysis episodes.",yes (no detail given),,INTRUDER,
